"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Ybx1",2.93745105967519e-157,1.03070235231939,1,0.515,8.2242754768786e-153,"G0","Ybx1"
"Atpif1",3.25657702531655e-156,1.23517704286614,1,0.382,9.11776435548127e-152,"G0","Atpif1"
"Ifi27l2a",7.97194896894689e-156,-2.62147247183356,0.412,0.712,2.23198627232575e-151,"G0","Ifi27l2a"
"Lpcat2",5.70555722890266e-154,-0.867276828385086,0.153,0.377,1.59744191294817e-149,"G0","Lpcat2"
"Pfn1",2.68755444053404e-153,-1.38416558998021,0.996,0.999,7.52461492260721e-149,"G0","Pfn1"
"Hspa8",1.58538402259017e-152,0.872582314040197,1,0.772,4.43875818644794e-148,"G0","Hspa8"
"AA467197",1.78581892277741e-152,-1.2049343386186,0.141,0.45,4.99993581999219e-148,"G0","AA467197"
"Ran",2.17073136788319e-151,1.44217503032585,0.992,0.264,6.07761368379935e-147,"G0","Ran"
"Fxyd5",3.51843615076735e-151,-1.91487229287923,0.95,0.955,9.85091753491843e-147,"G0","Fxyd5"
"Tmsb10",5.80117342376314e-151,0.811109102732022,0.996,0.579,1.6242125351852e-146,"G0","Tmsb10"
"Alox5ap",8.13146277862881e-151,-1.87438391730783,0.874,0.989,2.27664694876049e-146,"G0","Alox5ap"
"Abtb1",2.41599831762848e-150,-0.974882021562412,0.221,0.494,6.76431208969621e-146,"G0","Abtb1"
"Cnbp",2.78306370695066e-149,1.01631417482322,0.992,0.295,7.79202176672046e-145,"G0","Cnbp"
"Prr13",4.28752542578366e-149,-1.70929495436162,0.71,0.883,1.20042136871091e-144,"G0","Prr13"
"Actg1",9.41219950062924e-149,-1.25049676155484,1,0.997,2.63522761618617e-144,"G0","Actg1"
"Eif3k",1.39892282979427e-147,0.791740423454614,0.996,0.431,3.91670413885801e-143,"G0","Eif3k"
"Eif3e",8.24105626680665e-147,1.26134889330732,0.989,0.17,2.30733093358053e-142,"G0","Eif3e"
"Tpm4",9.06417416989209e-147,-1.20374254523258,0.24,0.499,2.53778748408639e-142,"G0","Tpm4"
"Uqcrh",3.77109912313283e-146,0.696154289278277,0.996,0.65,1.05583233249473e-141,"G0","Uqcrh"
"Erh",2.5374537422068e-145,1.33460722741734,0.992,0.21,7.1043629874306e-141,"G0","Erh"
"Glipr2",6.36173232114181e-145,-0.937223766277386,0.16,0.467,1.78115781527328e-140,"G0","Glipr2"
"D1Ertd622e",7.918649419339e-145,-0.904821065741513,0.191,0.428,2.21706346442653e-140,"G0","D1Ertd622e"
"H2-D1",1.04419188161472e-144,-1.45400223544183,1,0.996,2.9235284301449e-140,"G0","H2-D1"
"Ndufa4",1.13195823706758e-144,1.2150940125631,0.996,0.382,3.16925667214182e-140,"G0","Ndufa4"
"Nap1l1",2.27167985262097e-144,1.50420561667499,0.985,0.201,6.36024925136818e-140,"G0","Nap1l1"
"Set",6.82204068611649e-144,1.46444404503469,0.989,0.153,1.91003495129889e-139,"G0","Set"
"Nudt4",1.83625639733797e-143,-1.19309398021551,0.366,0.632,5.14115066126685e-139,"G0","Nudt4"
"Adgre5",2.93383425194298e-143,-0.933057104673315,0.115,0.351,8.21414913858995e-139,"G0","Adgre5"
"Cotl1",3.40942008774072e-143,-1.46663014733674,0.744,0.878,9.54569436165647e-139,"G0","Cotl1"
"Gm10073",5.3668353705159e-143,1.05559428505874,0.992,0.238,1.50260656703704e-138,"G0","Gm10073"
"Ostf1",9.90217695090089e-143,-1.43194089371335,0.805,0.904,2.77241150271323e-138,"G0","Ostf1"
"Snrpg",1.61940425047844e-141,1.08014625068574,0.981,0.27,4.53400802048954e-137,"G0","Snrpg"
"Nop10",2.30725868709967e-141,1.24425354855,0.992,0.199,6.45986287214164e-137,"G0","Nop10"
"Gnas",2.34609179792077e-141,0.744938687427517,0.996,0.487,6.56858781581856e-137,"G0","Gnas"
"Entpd1",2.93711671853177e-141,-0.705803814130369,0.065,0.232,8.22333938854525e-137,"G0","Entpd1"
"Dusp1",3.05086262489094e-141,-2.12931424241445,0.66,0.776,8.54180517716965e-137,"G0","Dusp1"
