Gene symbol,G0,G1,G2,G3a,G4,G5a,G5b,G5c,G3b,,Top2a,Gene symbol,Mono,DC,B,T
Zfp451,0.307007949,0.222418338,0.106346551,0.069653595,0.038216966,0.051198191,0.036061907,0.038760959,0.074744099,,Mybbp1a,Zfp451,0.187775696,0.20729705,0.225150744,0.218391979
Bend6,0,0,0,0,0,0.001978096,0,0,0,,Gramd4,Bend6,0.000501548,0,0.002075398,0.013821738
Dst,0.184668178,0.004631152,0.000472037,0.001148519,0.003779962,0.002160217,0,0.002769699,0,,Ctnna1,Dst,0.001606454,0.12031679,0.005879495,0.002273783
Gm37958,0,0,0,0,0,0,0,0,0,,Capn2,Gm37958,0,0,0,0
Gm37233,0.012605574,0.01989573,0.007361647,0.001696795,0.000516088,0,0.002716365,0,0,,Capn1,Gm37233,0.010303515,0.004124035,0.007000239,0.006260789
Ccdc115,0.542108746,0.771215267,0.414160203,0.144235985,0.058950528,0.041120295,0.102645157,0.081546358,0.123232321,,Camk2b,Ccdc115,0.576309947,0.523856969,0.404736263,0.41986756
Gm28306,0,0,0,0,0.000770151,0,0,0,0,,Camk2a,Gm28306,0.002790659,0,0,0
Imp4,0.547593563,0.623309606,0.190342446,0.114512688,0.071832895,0.118686908,0.191284125,0.129852437,0.17109593,,S100a8,Imp4,0.402661116,0.455076863,0.506397711,0.513230126
Ptpn18,5.458828335,3.943027583,2.050355562,2.495102439,2.835667656,3.913672174,5.071039068,4.400187058,3.207276054,,C6,Ptpn18,5.842775335,4.488333573,3.895580455,7.202953297
4930568A12Rik,0.012401388,0.006338457,0.0053623,0.000634742,0,0.006381749,0.022227288,0.004264889,0,,Tspo,4930568A12Rik,0.004975285,0,0.005834576,0.003272587
Prss39,0,0,0,0,0,0,0,0,0,,Btg1,Prss39,0.000569692,0,0,0
Cfc1,0.001546074,0,0,0,0,0,0,0,0,,Scin,Cfc1,0,0,0,0
Prss40,0,0,0,0,0,0,0,0,0,,Lats2,Prss40,0,0,0,0
1700101I19Rik,0,0,0,0,0,0,0,0,0,,Ip6k2,1700101I19Rik,0,0,0,0
Amer3,0,0,0,0,0,0,0,0,0,,Ager,Amer3,0,0,0,0
Arhgef4,0.040689211,0.026600087,0.026962253,0.044017588,0.047897088,0.034514869,0.026732034,0.01693845,0.054251487,,Spop,Arhgef4,0.019391599,0.044101792,0.015293757,0.053746934
Gm38336,0,0.001385986,0.000751007,0.003567571,0,0.006409912,0.015986166,0.01170548,0,,Plscr1,Gm38336,0.003290662,0,0.006591635,0.005366833
Fam168b,0.502215575,0.290213034,0.257398407,0.242280224,0.238478836,0.386903396,0.476544211,0.331614393,0.37521365,,St18,Fam168b,0.287117186,0.608157212,0.530291993,0.454949153
Plekhb2,0.182108819,0.126463558,0.068387779,0.08895553,0.118971774,0.119794393,0.201560235,0.125255869,0.112626388,,Creb1,Plekhb2,0.279932728,0.536539269,0.203398691,0.187499114
Gm37068,0,0,0,0,0,0,0,0,0,,Prkra,Gm37068,0,0,0,0
Gm28415,0,0,0,0,0,0,0,0,0,,Rbck1,Gm28415,0,0,0,0
1110002O04Rik,0,0,0,0,0,0.00088113,0,0,0,,Col18a1,1110002O04Rik,0,0,0,0.000691657
Gm37146,0,0,0,0,0,0,0,0,0,,Clu,Gm37146,0,0,0,0
Gm33222,0,0,0,0,0,0,0,0,0,,Hip1,Gm33222,0,0,0,0
4930535G08Rik,0,0,0,0,0,0,0,0,0,,Inca1,4930535G08Rik,0.000544663,0,0,0
Hs6st1,0.074094602,0.033646015,0.009144146,0.00859685,0.004965718,0.008852836,0.004829074,0.004477858,0.035383499,,Eif2s1,Hs6st1,0.094028182,0.105634376,0.063660415,0.057581743
Gm37335,0,0,0,0.00022022,0,0,0,0,0,,Pak3,Gm37335,0,0,0,0
Gm33280,0,0.000415308,0.000787217,0,0,0,0.006673303,0,0,,Ppm1f,Gm33280,0.002647137,0,0.002574482,0.003238863
Uggt1,0.342717023,0.626244206,0.162388325,0.116276721,0.090482854,0.117163116,0.167395107,0.156106737,0.176087605,,Tyrobp,Uggt1,0.346036517,0.680754494,0.242280595,0.233960948
Neurl3,0.489807707,0.110263841,0.079683646,0.412010599,0.633842004,1.356330544,2.115512116,1.749985154,0.424883844,,Cxcr3,Neurl3,0.580334394,0.112115719,0.614052829,0.628017107
Arid5a,0.424290174,0.189022089,0.134956878,0.181215972,0.206268063,0.521272568,0.893996046,0.694169731,0.119574179,,Hcar2,Arid5a,0.296205891,0.644212488,0.667449671,0.622849894
4930403P22Rik,0.009227253,0.003480229,0.007312927,0.004560722,0.009949809,0.014803787,0.02976777,0.018431891,0,,Eif5a,4930403P22Rik,0.019481365,0.014611117,0.015915378,0.021563765
Kansl3,0.332342355,0.173451881,0.119355318,0.042700985,0.035794309,0.05630261,0.100669158,0.037202875,0.101495101,,Sphk2,Kansl3,0.264311087,0.224592199,0.29219606,0.288093558
Fer1l5,0,0,0,0,0,0,0,0,0,,Ripk2,Fer1l5,0.000524786,0,0,0
Lman2l,0.251491465,0.266611079,0.263472563,0.209956549,0.190399717,0.16985179,0.264341974,0.291118612,0.097998199,,Htra2,Lman2l,0.483436675,0.653779252,0.451825794,0.397921123
Cnnm4,0.103890997,0.071343493,0.075855673,0.087254483,0.076966725,0.094385352,0.146294266,0.143703251,0.057899458,,Stk3,Cnnm4,0.119596771,0.040036777,0.058988786,0.039995272
